# Every West and Central Asia city row: the bank figure (Wikidata P1082 as the probe took it) vs the enwiki infobox population_total (live, 2026-09-19)
# name | country | bank size | article figure (as of) | ratio | article type | views | wikiTitle

Fatsa | Turkey | 116154 | 126775 (2022) | 0.92 | metro district | 731 | Fatsa
Gazipasa | Turkey | 50003 | 53702 (2022) | 0.93 | metro district | 731 | Gazipaşa
Gebze | Turkey | 411800 | 407019 (2022) | 1.01 | metro district | 2070 | Gebze
Giresun | Turkey | 125682 | 125682 (2022) | 1.00 | municipality | 1887 | Giresun
Goksun | Turkey | 55985 | 50676 (2022) | 1.10 | metro district | 365 | Göksun
Golcuk | Turkey | 162584 | 175940 (2022) | 0.92 | metro district | 548 | Gölcük, Kocaeli
Gonen | Turkey | 73829 | 74871 (2022) | 0.99 | metro district | 304 | Gönen
Gumushane | Turkey | 57269 | 39214 (2022) | 1.46 | municipality | 883 | Gümüşhane
Hakkari | Turkey | 60098 | 58470 () | 1.03 | municipality | 1492 | Hakkâri (city)
Hassa | Turkey | 56409 | 56675 (2022) | 1.00 | metro district | 152 | Hassa, Hatay
Idil | Turkey | 76523 | no figure |  |  | 335 | İdil
Igdir | Turkey | 137613 | 101700 (2022) | 1.35 | municipality | 1948 | Iğdır
Ilgin | Turkey | 54622 | 53489 (2022) | 1.02 | metro district | 152 | Ilgın
Inegol | Turkey | 281384 | 294485 (2022) | 0.96 | metro district | 700 | İnegöl
Iskenderun | Turkey | 251682 | 251682 (2022) | 1.00 | metro district | 4901 | İskenderun
Islahiye | Turkey | 67674 | 67650 (2022) | 1.00 | metro district | 213 | İslahiye
Isparta | Turkey | 247580 | 247580 (2022) | 1.00 | municipality | 2161 | Isparta
Izmit | Turkey | 376056 | 365893 (2023) | 1.03 | City and municipality | 5418 | İzmit
Kadirli | Turkey | 124053 | 98469 (2022) | 1.26 | municipality | 213 | Kadirli
Kahta | Turkey | 122774 | 86232 (2021) | 1.42 | municipality | 244 | Kâhta
Kandira | Turkey | 51348 | 52874 (2022) | 0.97 | metro district | 244 | Kandıra
Kapakli | Turkey | 142662 | 137514 (2022) | 1.04 | metro district | 244 | Kapaklı
Karabuk | Turkey | 131989 | 125403 (2022) | 1.05 | municipality | 822 | Karabük
Karacabey | Turkey | 83115 | 84907 (2022) | 0.98 | metro district | 304 | Karacabey
Karadeniz Eregli | Turkey | 175605 | 122282 (2022) | 1.44 | municipality | 639 | Karadeniz Ereğli
Karaman | Turkey | 168299 | 175390 (2022) | 0.96 | municipality | 1583 | Karaman
Karamursel | Turkey | 56604 | 59676 (2022) | 0.95 | metro district | 731 | Karamürsel
Kastamonu | Turkey | 152541 | 125622 (2021) | 1.21 | municipality | 2253 | Kastamonu
Kesan | Turkey | 84442 | 64842 (2022) | 1.30 | municipality | 396 | Keşan
Kilis | Turkey | 112187 | 112187 (2022) | 1.00 | municipality | 1096 | Kilis
Kirikhan | Turkey | 115196 | 121028 (2022) | 0.95 | metro district | 244 | Kırıkhan
Kirikkale | Turkey | 186960 | 186960 (2022) | 1.00 | municipality | 852 | Kırıkkale
Kirklareli | Turkey | 79884 | 85493 (2022) | 0.93 | municipality | 1613 | Kırklareli
Kirsehir | Turkey | 150700 | 150700 (2022) | 1.00 | municipality | 883 | Kırşehir
Kiziltepe | Turkey | 275460 | 267151 (2022) | 1.03 | metro district | 457 | Kızıltepe
Korfez | Turkey | 165503 | 178048 (2022) | 0.93 | metro district | 183 | Körfez
Korkuteli | Turkey | 55883 | 56285 (2022) | 0.99 | metro district | 304 | Korkuteli
Kozan | Turkey | 130495 | 132703 (2022) | 0.98 | metro district | 791 | Kozan, Adana
Kozluk | Turkey | 61437 | 27825 () | 2.21 | municipality| name             | 122 | Kozluk
Kumluca | Turkey | 68610 | 73496 (2022) | 0.93 | metro district | 304 | Kumluca
Kurtalan | Turkey | 59647 | 36273 (2021) | 1.64 | municipality | 152 | Kurtalan
Kutahya | Turkey | 266784 | 263863 (2022) | 1.01 | municipality | 2283 | Kütahya
Luleburgaz | Turkey | 148037 | 125404 (2022) | 1.18 | municipality | 883 | Lüleburgaz
Malazgirt | Turkey | 51323 | 42135 (2024) | 1.22 | municipality | 1705 | Malazgirt
Malkara | Turkey | 52758 | 50988 (2022) | 1.03 | metro district | 274 | Malkara
Manavgat | Turkey | 252941 | 252941 (2022) | 1.00 | metro district | 1157 | Manavgat
Midyat | Turkey | 113367 | 120069 (2022) | 0.94 | metro district | 2648 | Midyat
Milas | Turkey | 139446 | 147416 (2022) | 0.95 | metro district | 1065 | Milas
Mugla | Turkey | 64706 | 82717 (2022) | 0.78 | City | 2953 | Muğla
Mus | Turkey | 120699 | 120699 (2022) | 1.00 | municipality | 1644 | Muş
Mustafakemalpasa | Turkey | 100696 | 102284 (2022) | 0.98 | metro district | 365 | Mustafakemalpaşa
Mut | Turkey | 62853 | 62874 (2022) | 1.00 | metro district | 183 | Mut, Mersin
Nazilli | Turkey | 162041 | 162737 (2022) | 1.00 | metro district | 517 | Nazilli
Nigde | Turkey | 224289 | 170511 (2022) | 1.32 | municipality | 1126 | Niğde
Niksar | Turkey | 64119 | 37017 (2022) | 1.73 | municipality | 578 | Niksar
Nizip | Turkey | 142389 | 148386 (2022) | 0.96 | metro district | 304 | Nizip
Nusaybin | Turkey | 105856 | 115586 (2022) | 0.92 | metro district | 2009 | Nusaybin
Odemis | Turkey | 132511 | 132740 (2022) | 1.00 | metro district | 365 | Ödemiş
Orhangazi | Turkey | 78447 | 81110 (2022) | 0.97 | metro district | 152 | Orhangazi
Osmaniye | Turkey | 252186 | 252186 (2022) | 1.00 | municipality | 791 | Osmaniye
Ozalp | Turkey | 65785 | 59851 (2022) | 1.10 | metro district | 122 | Özalp, Van
Patnos | Turkey | 122833 | 61837 (2021) | 1.99 | municipality | 274 | Patnos
Pazarcik | Turkey | 68838 | 70173 (2022) | 0.98 | metro district | 700 | Pazarcık
Polatli | Turkey | 125075 | 128378 (2022) | 0.97 | metro district | 457 | Polatlı
Reyhanli | Turkey | 98534 | 108092 (2022) | 0.91 | metro district | 426 | Reyhanlı
Salihli | Turkey | 161562 | 165182 (2023) | 0.98 | metro district | 335 | Salihli
Samandag | Turkey | 121109 | 165494 (2022) | 0.73 | metro district | 852 | Samandağ
Sandikli | Turkey | 56182 | 54851 (2024) | 1.02 | municipality | 122 | Sandıklı
Saray | Turkey | 51224 | 50766 (2022) | 1.01 | metro district | 244 | Saray, Tekirdağ
Saruhanli | Turkey | 54660 | 56523 (2022) | 0.97 | metro district | 91 | Saruhanlı
Serik | Turkey | 124335 | 139545 (2022) | 0.89 | metro district | 548 | Serik
Seydisehir | Turkey | 64687 | 65465 (2022) | 0.99 | metro district | 183 | Seydişehir
Siirt | Turkey | 166332 | no figure |  | municipality| name             | 1400 | Siirt
Silifke | Turkey | 119303 | 132665 (2022) | 0.90 | metro district | 974 | Silifke
Silopi | Turkey | 134754 | 108880 (2023) | 1.24 | municipality | 700 | Silopi
Silvan | Turkey | 86672 | 86161 (2022) | 1.01 | metro district | 944 | Silvan, Diyarbakır
Simav | Turkey | 64015 | 26872 (2022) | 2.38 | municipality | 213 | Simav
Sinop | Turkey | 70311 | 57404 (2022) | 1.22 | municipality | 6545 | Sinop, Turkey
Siverek | Turkey | 258265 | 267942 (2022) | 0.96 | metro district | 578 | Siverek
Sirnak | Turkey | 67662 | 75932 () | 0.89 | municipality | 1065 | Şırnak
Soke | Turkey | 124217 | 123301 (2022) | 1.01 | metro district | 548 | Söke
Soma | Turkey | 108981 | 111789 (2022) | 0.97 | metro district | 244 | Soma, Manisa
Sorgun | Turkey | 79314 | 55079 (2022) | 1.44 | municipality | 152 | Sorgun, Yozgat
Suruc | Turkey | 104302 | 100961 (2022) | 1.03 | metro district | 517 | Suruç
Tarsus | Turkey | 346715 | 350732 (2022) | 0.99 | metro district | 9162 | Tarsus, Mersin
Tatvan | Turkey | 92695 | 79214 (2021) | 1.17 | municipality | 609 | Tatvan
Tavsanli | Turkey | 101903 | 73306 (2022) | 1.39 | municipality | 152 | Tavşanlı
Tire | Turkey | 84457 | 87462 (2022) | 0.97 | metro district | 426 | Tire, İzmir
Tokat | Turkey | 163405 | 163405 (2022) | 1.00 | municipality | 1766 | Tokat
Turgutlu | Turkey | 163223 | 175401 (2022) | 0.93 | metro district | 426 | Turgutlu
Turhal | Turkey | 79916 | 62030 (2022) | 1.29 | municipality | 183 | Turhal
Turkoglu | Turkey | 73770 | 78976 (2022) | 0.93 | metro district | 91 | Türkoğlu
Unye | Turkey | 126702 | 132432 (2022) | 0.96 | metro district | 396 | Ünye
Usak | Turkey | 228881 | 236366 (2022) | 0.97 | municipality | 1674 | Uşak
Uzunkopru | Turkey | 61485 | 39577 (2022) | 1.55 | municipality | 578 | Uzunköprü
Vezirkopru | Turkey | 95569 | 90308 (2022) | 1.06 | metro district | 183 | Vezirköprü
Viransehir | Turkey | 195910 | 207315 (2022) | 0.94 | metro district | 517 | Viranşehir
Yalova | Turkey | 133109 | 157499 (2024) | 0.85 | municipality | 1887 | Yalova
Yenisehir | Turkey | 53704 | 54844 (2022) | 0.98 | metro district | 487 | Yenişehir, Bursa
Yozgat | Turkey | 105167 | 92643 (2022) | 1.14 | municipality | 1096 | Yozgat
Zile | Turkey | 55673 | 33557 (2022) | 1.66 | municipality | 670 | Zile
Zonguldak | Turkey | 101749 | 101749 (2022) | 1.00 | municipality | 1826 | Zonguldak
Bayramaly | Turkmenistan | 70376 | 70376 (2022 census) | 1.00 |  | 365 | Baýramaly
Magdanly | Turkmenistan | 64845 | 44508 (2022 ) | 1.46 | City | 122 | Magdanly
Tejen | Turkmenistan | 67488 | 67488 (2022 ) | 1.00 | City | 426 | Tejen
Kalba | United Arab Emirates | 54876 | 51000 (2022) | 1.08 | City | 1431 | Kalba
Angren | Uzbekistan | 126962 | 191300 (2021) | 0.66 | City | 365 | Angren, Uzbekistan
Bekabad | Uzbekistan | 82082 | 96900 (2021) | 0.85 | City | 304 | Bekabad
Olmaliq | Uzbekistan | 141894 | 133400 (2021) | 1.06 | Town | 548 | Olmaliq
'Amran | Yemen | 90792 | 92763 () | 0.98 | City | 365 | 'Amran
Al-Shihr | Yemen | 68313 | no figure |  | Town | 244 | Al-Shihr
Dhamar | Yemen | 160114 | 146346 (2004) | 1.09 | City | 883 | Dhamar, Yemen
Saada | Yemen | 70203 | 51870 (2004) | 1.35 | City | 2131 | Saada
Sayyan | Yemen | 69993 | no figure |  | Town | 91 | Sayyan
Seiyun | Yemen | 120137 | 135000 () | 0.89 | City | 1065 | Seiyun
Tarim | Yemen | 105552 | 58523 (2012) | 1.80 | Town | 1096 | Tarim, Yemen
Zabid | Yemen | 50781 | no figure |  | Town | 883 | Zabid
