# Every West and Central Asia city row: the bank figure (Wikidata P1082 as the probe took it) vs the enwiki infobox population_total (live, 2026-09-19)
# name | country | bank size | article figure (as of) | ratio | article type | views | wikiTitle

Izeh | Iran | 119399 | 119399 (2016) | 1.00 | City | 365 | Izeh
Jahrom | Iran | 141634 | 202098 (2025) | 0.70 | City | 396 | Jahrom
Javanrud | Iran | 54354 | 54354 (2016) | 1.00 | City | 183 | Javanrud
Jiroft | Iran | 130429 | 130429 (2016) | 1.00 | City | 639 | Jiroft
Kahnuj | Iran | 52624 | 52624 (2016) | 1.00 | City | 122 | Kahnuj
Kamal Shahr | Iran | 141669 | 141669 (2016) | 1.00 | City | 91 | Kamal Shahr
Kamyaran | Iran | 57077 | 57077 (2016) | 1.00 | City | 122 | Kamyaran
Kangavar | Iran | 51352 | 51352 (2016) | 1.00 | City | 244 | Kangavar
Kashmar | Iran | 102282 | 102282 (2016 Census) | 1.00 | City | 700 | Kashmar
Kazerun | Iran | 96683 | 96683 (2016 Census) | 1.00 | City | 517 | Kazerun
Khash | Iran | 56584 | 56584 (2016) | 1.00 | City | 213 | Khash, Iran
Khomeyn | Iran | 72882 | 72882 (2016) | 1.00 | City | 1339 | Khomeyn
Khomeynishahr | Iran | 247128 | 247128 (2016) | 1.00 | City | 183 | Khomeynishahr
Khorramshahr | Iran | 133097 | 133097 (2016) | 1.00 | City | 2435 | Khorramshahr
Khoy | Iran | 198845 | 198845 (2016) | 1.00 | City | 1461 | Khoy
Kuhdasht | Iran | 89091 | 89091 (2016) | 1.00 | City | 183 | Kuhdasht
Lahijan | Iran | 101073 | 101073 (2016) | 1.00 | City | 791 | Lahijan
Langarud | Iran | 79445 | 79445 (2016) | 1.00 | City | 244 | Langarud
Lar | Iran | 62045 | 62045 (2016) | 1.00 | City | 457 | Lar, Iran
Mahabad | Iran | 168393 | 168393 (2016) | 1.00 | City | 1948 | Mahabad
Malard | Iran | 281027 | 281027 (2016) | 1.00 | City | 183 | Malard
Malayer | Iran | 170237 | 170237 (2016) | 1.00 | City | 578 | Malayer
Maragheh | Iran | 175255 | 175255 (2016) | 1.00 | City | 1400 | Maragheh
Marand | Iran | 130825 | 130825 (2016) | 1.00 | City | 365 | Marand
Marivan | Iran | 136654 | 136654 (2016) | 1.00 | City | 517 | Marivan
Marvdasht | Iran | 148858 | 148858 (2016) | 1.00 | City | 1005 | Marvdasht
Masjed Soleyman | Iran | 100497 | 100497 (2016) | 1.00 | City | 1157 | Masjed Soleyman
Meshginshahr | Iran | 74109 | 74109 (2016) | 1.00 | City | 244 | Meshginshahr
Meybod | Iran | 80712 | 80712 (2016) | 1.00 | City | 244 | Meybod
Miandoab | Iran | 134425 | 134425 (2016) | 1.00 | City | 335 | Miandoab
Mianeh | Iran | 98973 | 98973 (2016) | 1.00 | City | 426 | Mianeh, East Azerbaijan
Minab | Iran | 73170 | 73170 (2016) | 1.00 | City | 1492 | Minab
Mohammadshahr | Iran | 119418 | 119418 (2016) | 1.00 | City | 91 | Mohammadshahr
Nahavand | Iran | 76162 | 76162 (2016) | 1.00 | City | 974 | Nahavand
Najafabad | Iran | 235281 | 235281 (2016) | 1.00 | City | 426 | Najafabad
Naqadeh | Iran | 81598 | 81598 (2016) | 1.00 | City | 457 | Naqadeh
Nasimshahr | Iran | 200393 | 200393 (2016) | 1.00 | City | 91 | Nasimshahr
Nazarabad | Iran | 119512 | 119512 (2016) | 1.00 | City | 122 | Nazarabad
Neka | Iran | 60991 | 60991 (2016) | 1.00 | City | 152 | Neka
Nishapur | Iran | 264375 | 264375 (2016) | 1.00 | City | 10380 | Nishapur
Omidiyeh | Iran | 67427 | 67427 (2016) | 1.00 | City | 244 | Omidiyeh
Pakdasht | Iran | 236319 | 236319 (2016) | 1.00 | City | 213 | Pakdasht
Parand | Iran | 97464 | 97464 (2016) | 1.00 | City | 274 | Parand
Pardis | Iran | 73363 | 73363 (2016) | 1.00 | City | 457 | Pardis
Parsabad | Iran | 93387 | 93387 (2016) | 1.00 | City | 304 | Parsabad
Piranshahr | Iran | 91515 | 91515 (2016) | 1.00 | City | 639 | Piranshahr
Qaem Shahr | Iran | 204953 | 204953 (2016) | 1.00 | City | 609 | Qaem Shahr
Qarchak | Iran | 231075 | 231075 (2016) | 1.00 | City | 152 | Qarchak
Qazvin | Iran | 402748 | 402748 (2016) | 1.00 | City | 3470 | Qazvin
Qods | Iran | 309605 | 309605 (2016) | 1.00 | City | 274 | Qods, Iran
Qorveh | Iran | 78276 | 78276 (2016) | 1.00 | City | 152 | Qorveh
Quchan | Iran | 101604 | 101604 (2016) | 1.00 | City | 670 | Quchan
Rafsanjan | Iran | 161909 | 161909 (2016) | 1.00 | City | 426 | Rafsanjan
Ramhormoz | Iran | 74285 | 74285 (2016) | 1.00 | City | 731 | Ramhormoz
Robat Karim | Iran | 105393 | 105393 (2016) | 1.00 | City | 183 | Robat Karim
Sabzevar | Iran | 243700 | 243700 (2016) | 1.00 | City | 761 | Sabzevar
Sadra | Iran | 91863 | 122226 (2019 estimate) | 0.75 | City | 183 | Sadra, Fars
Sahand | Iran | 82494 | 82494 (2016) | 1.00 | City | 91 | Sahand, Iran
Salmas | Iran | 127864 | 92811 (2016) | 1.38 | City | 883 | Salmas
Sanandaj | Iran | 412767 | 412767 (2016) | 1.00 | City | 2070 | Sanandaj
Saqqez | Iran | 165258 | 165258 (2016) | 1.00 | City | 913 | Saqqez
Saravan | Iran | 60014 | 60014 (2016) | 1.00 | City | 396 | Saravan, Iran
Saveh | Iran | 220762 | 220762 (2016) | 1.00 | City | 548 | Saveh
Semnan | Iran | 185129 | 185129 (2016) | 1.00 | City | 1005 | Semnan, Iran
